                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.15929,                 0.1321,                0.86231,                0.99938,                0.98562,                0.99448,                0.98832,                0.13183,                0.10221,                0.62827,             0.00012731,             0.00012731,             0.00012731
                     85,                0.16242,                0.13147,                0.86453,                0.99974,                0.98562,                0.99448,                0.98931,                0.13345,                0.10127,                0.62844,             0.00012024,             0.00012024,             0.00012024
                     86,                0.16093,                0.13031,                0.86544,                      1,                0.98688,                0.99449,                0.98951,                0.13436,                0.10095,                0.62841,             0.00011317,             0.00011317,             0.00011317
                     87,                0.15695,                0.12777,                0.86172,                0.99958,                0.98562,                 0.9945,                0.98969,                0.12969,                0.09672,                0.62751,              0.0001061,              0.0001061,              0.0001061
                     88,                0.15649,                0.12805,                0.86439,                0.99951,                0.98562,                0.99432,                0.98947,                0.13106,                0.09934,                0.62729,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.15402,                0.12561,                0.86129,                0.99954,                0.98562,                 0.9945,                 0.9897,                 0.1303,                0.10048,                0.62834,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.15553,                0.12959,                0.86026,                0.99948,                0.98562,                0.99447,                 0.9896,                0.13182,                0.10456,                0.62788,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.14557,                0.11519,                0.82598,                0.99949,                0.98562,                0.99438,                0.98903,                0.10814,                0.09887,                 0.6241,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 0.1325,                0.10951,                0.82412,                0.99948,                0.98562,                0.99447,                 0.9891,                0.10202,                0.09592,                0.62368,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.12385,                0.10476,                0.82073,                0.99947,                0.98562,                 0.9945,                0.98849,                0.10041,                0.09147,                0.62315,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.12414,                0.10652,                0.82488,                0.99941,                0.98562,                0.99447,                0.98905,                0.09765,                0.09095,                0.62304,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 0.1248,                0.10577,                0.82372,                0.99948,                0.98698,                0.99449,                0.98896,                0.09628,                0.08772,                0.62201,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.11743,                0.10107,                0.81325,                0.99948,                0.98562,                0.99435,                0.98865,                0.09425,                0.08475,                0.62219,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.11467,                0.10053,                0.81778,                0.99949,                0.98696,                0.99447,                0.98985,                0.09457,                 0.0856,                0.62203,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.11692,                 0.1008,                0.81858,                0.99942,                0.98562,                0.99438,                0.98915,                0.09407,                0.08453,                0.62163,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.11249,                0.09775,                0.81985,                0.99945,                0.98562,                0.99441,                0.98951,                0.09331,                 0.0855,                0.62128,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.11088,                0.09643,                0.81803,                0.99942,                0.98562,                0.99432,                0.98967,                0.09296,                0.08493,                0.62146,             1.4209e-05,             1.4209e-05,             1.4209e-05
